item ID,titles,description,product_type,brand,dietary_considerations,flavor_profile,cost_tier,key_features,categories
36470,MGO 400+ MANUKA HONEY 100% Pure by Manuka Health New Zealand Ltd. - 8.8oz jar,"This product is a high-quality, 100% pure Manuka honey with a MGO (methylglyoxal) rating of 400+, indicating its potency and potential health benefits, packaged in an 8.8oz jar.",Manuka Honey,Manuka Health New Zealand Ltd.,['Natural'],sweet,High-Cost,['shelf-stable'],"Health Foods, Specialty Foods, Sweeteners"
36471,Raw Whole Macadamias (1 Pound Bag),"A one-pound bag of unprocessed macadamia nuts, known for their rich, buttery flavor and crunchy texture, perfect for snacking or adding to recipes.",raw macadamia nuts,none,"['Non-GMO', 'Gluten-Free', 'Vegan']",buttery,High-Cost,"['raw', 'shelf-stable', 'bulk packaging']","Snacks, Nuts and Seeds"
36511,"Viva Labs Organic Raw Chia Seeds, 1 lb Bag","These organic raw chia seeds are nutrient-dense superfoods known for their high fiber, omega-3 fatty acids, and ability to absorb liquid, making them ideal for adding to smoothies, baked goods, or as a thickening agent in recipes.",chia seeds,Viva Labs,"['Organic', 'Vegan']",neutral,Medium-Cost,"['nutrient-dense', 'high in fiber', 'omega-3 fatty acids', 'versatile in recipes']","Cooking Ingredients, Health Foods, Nuts and Seeds, Health-Conscious Options"
36517,"Campbell's Chunky Split Pea &amp; Ham Soup, 19 Ounce Cans (Pack of 12)","This product is a pack of twelve 19-ounce cans of hearty split pea and ham soup, offering a savory and nutritious meal option.",canned soup,Campbell's,"['High in Protein', 'High in Fiber']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'multi-serving']","Canned and Packaged Foods, Prepared and Ready-Made Meals"
36521,"Hansen's Grapefruit Soda, 12 Ounce Cans (Pack of 24)",Sparkling grapefruit-flavored soft drink available in a pack of 24 twelve-ounce cans.,grapefruit soda,Hansen's,['Gluten-Free'],tart,Medium-Cost,"['shelf-stable', 'ready-to-drink']",Beverages
36534,"Bob's Red Mill Organic Buckwheat Flour, 22-Ounce (Pack of 4)","This product is a bulk pack of organic buckwheat flour, ideal for gluten-free baking and cooking, providing a nutritious alternative to traditional wheat flour.",buckwheat flour,Bob's Red Mill,"['Organic', 'Gluten-Free']",nutty,Medium-Cost,"['bulk pack', 'shelf-stable', 'requires cooking']","Cooking Ingredients, Health Foods, Dietary Specific Items"
36554,Meltykiss Fruity Strawberry Koi Ichigo 60g,"This product is a soft, chocolate-covered treat filled with a creamy strawberry-flavored center, offering a unique and indulgent candy experience.",chocolate confection,Meltykiss,['None'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
36597,Loving Hut Red Yeast Log - 1 kg,"A 1 kg log of red yeast, commonly used in cooking and baking to enhance flavor and color, particularly in Asian cuisines.",red yeast extract,Loving Hut,['Vegan'],umami,Medium-Cost,"['shelf-stable', 'requires cooking']",Cooking Ingredients
36604,"La Perruche Sugar Cubes, Brown, 8.8-Ounce","These brown sugar cubes are perfect for sweetening beverages and desserts, offering a rich, molasses-like flavor.",brown sugar cubes,La Perruche,['Non-GMO'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Sweets and Desserts, Sweeteners"
36609,"Chincoteague Seafood Soup-Er Crate, 4 - 15 oz. cans","A selection of four 15-ounce cans of seafood soup featuring the flavors and ingredients typical of Chincoteague, perfect for a quick and hearty meal.",seafood soup,none,[],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Prepared and Ready-Made Meals"
36610,"Belvita Breakfast Biscuit, Apple Cinnamon, 8.8-Ounce (Pack of 3)","A pack of three boxes containing crunchy breakfast biscuits flavored with apple and cinnamon, designed to provide a convenient and tasty morning snack.",breakfast biscuit,Belvita,[],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Breakfast Foods"
36618,"Healthy Choice Chicken Tortilla Soup, 14-Ounce Microwavable Containers (Pack of 6)","This product is a pack of six 14-ounce microwavable containers of chicken tortilla soup, offering a convenient and nutritious meal option.",chicken tortilla soup,Healthy Choice,"['Low-Calorie', 'Low-Sodium']",savory,Medium-Cost,"['ready-to-eat', 'microwavable', 'single-serving']","Health Foods, Health-Conscious Options, Prepared and Ready-Made Meals"
36649,"Celestial Seasonings Herb Tea, Country Peach Passion, 20-Count Tea Bags (Pack of 6)","A pack of 120 herbal tea bags featuring a fruity peach flavor, perfect for a refreshing and caffeine-free beverage option.",herbal tea,Celestial Seasonings,['Caffeine-Free'],fruity,Medium-Cost,"['tea bags', 'shelf-stable']","Beverages, Coffee/Tea"
36654,"Deluxe Mixed Nuts - Roasted Unsalted, 2 Lbs","A 2-pound bag of roasted, unsalted mixed nuts, ideal for snacking or adding to recipes for a nutritious crunch.",mixed nuts,none,"['Low-Sodium', 'Non-GMO', 'Vegan']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Health Foods, Nuts and Seeds"
36695,8 K-cup Gloria Jean's Brown Sugar Cake Sampler - NEW Delicious Flavor!,"This product is a sampler pack of single-serve coffee pods featuring the flavor of brown sugar cake, designed for use with K-cup coffee makers.",coffee pods,Gloria Jean's,['none'],sweet,Medium-Cost,"['single-serving', 'designed for K-cup coffee makers']","Beverages, Coffee/Tea"
36708,"Loma Linda Redi-Burger, Low Fat, 19-Ounce Cans (Pack of 12)","This product is a pack of twelve 19-ounce cans containing low-fat, plant-based burgers that are ready to heat and serve.",plant-based burger,Loma Linda,"['Vegan', 'Low-Fat']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Health Foods, Canned and Packaged Foods, Health-Conscious Options, Prepared and Ready-Made Meals"
36744,"Hain Pure Foods Vegetarian Brown Gravy Mix, 0.7 Ounce (Pack of 24)","A convenient mix for preparing vegetarian brown gravy, ideal for enhancing the flavor of dishes like mashed potatoes, vegetables, and sauces.",vegetarian brown gravy mix,Hain Pure Foods,['Vegetarian'],savory,Medium-Cost,"['shelf-stable', 'requires cooking', 'easy to use']",Cooking Ingredients
36780,Nut Roaster's Reserve Pecans -- Roasted &amp; Salted (24 Ounces),"A 24-ounce bag of roasted and salted pecans, perfect for snacking or adding to recipes.",gourmet nuts,Nut Roaster's Reserve,"['Gluten-Free', 'Non-GMO']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Nuts and Seeds"
36814,"The Organic Coffee Co. Decaf Gorilla Coffee, 36 OneCup Single Serve Cups","This product contains 36 single-serve pods of decaffeinated coffee made from organic beans, designed for convenient brewing.",decaf coffee pods,The Organic Coffee Co.,"['Organic', 'Decaffeinated']",rich,Medium-Cost,"['single-serving', 'ready-to-brew']","Coffee/Tea, Health-Conscious Options"
36853,"Bob's Red Mill Banana Chips, 10-Ounce Packages (Pack of 4)","These are crispy, naturally sweet banana chips packaged in 10-ounce bags, ideal for snacking or adding to trail mixes and baked goods.",dried fruit snack,Bob's Red Mill,"['Gluten-Free', 'Vegan']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Fruits and Vegetables"
36858,Freeze Dried Peas - 1.25 Pound Can,"This product is a 1.25-pound can of freeze-dried peas, ideal for easy storage and preparation during camping or outdoor activities.",freeze-dried vegetables,none,"['Non-GMO', 'Vegan', 'Gluten-Free']",mildly sweet,Medium-Cost,"['shelf-stable', 'lightweight', 'easy to prepare']","Canned and Packaged Foods, Dried and Preserved Foods, Vegetables and Beans"
36865,"San Francisco Bay Coffee French Roast, 80 OneCup Single Serve Cups","This product contains 80 single-serve coffee pods featuring a bold French roast blend, designed for convenient brewing in compatible machines.",single-serve coffee pods,San Francisco Bay Coffee,"['Gluten-Free', 'Vegan']",bold,Medium-Cost,"['single-serving', 'ready-to-brew']","Beverages, Coffee/Tea"
36914,"Santa Cruz Organic Apple Apricot Sauce, 6 Count, 4-Ounce Cups (Pack of 4)","This product features organic apple and apricot sauce packaged in convenient 4-ounce cups, perfect for on-the-go snacking or as a healthy addition to meals.",fruit sauce,Santa Cruz Organic,['Organic'],sweet,Medium-Cost,"['ready-to-eat', 'single-serving']","Snacks, Health Foods, Canned and Packaged Foods, Fruits and Vegetables, Health-Conscious Options"
36939,Himalayan Pink Salt - Fine FunFresh 8.75 oz Powder,"This fine powder is a mineral-rich salt sourced from the Himalayan mountains, ideal for seasoning and enhancing the flavor of various dishes.",gourmet salt,FunFresh,"['Non-GMO', 'Gluten-Free']",savory,Medium-Cost,"['fine powder', 'shelf-stable']","Cooking Ingredients, Specialty Foods"
36970,"Simply Organic Chili Powder Certified Organic, 2.89-Ounce Container","This certified organic chili powder is a flavorful spice used to add heat and depth to a variety of dishes, packaged in a convenient 2.89-ounce container.",chili powder,Simply Organic,['Organic'],spicy,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
36982,"Navitas Naturals Organic Raw Cacao Liquor/Paste, 16-Ounce","This organic product is a rich and versatile cacao liquor made from ground cacao beans, ideal for baking, cooking, or making chocolate confections.",cacao liquor,Navitas Naturals,"['Organic', 'Vegan']",rich,Medium-Cost,"['shelf-stable', 'requires cooking']","Cooking Ingredients, Sweets and Desserts"
36990,"Nongshim Shin Ramyun Black Noodle Soup, 4.58 Ounce (Pack of 24)","This is a bulk pack of spicy instant noodle soup featuring rich flavors and a satisfying texture, ideal for quick meals or snacks.",instant noodle soup,Nongshim,['Contains Gluten'],spicy,Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Canned and Packaged Foods, Prepared and Ready-Made Meals, Ethnic and Specialty Foods"
36992,Want Want Big Shelly Shenbei Snowy Crispy Rice Cracker Biscuits - Sugar Glazed 5.30 oz.,"These sugar-glazed crispy rice crackers are a sweet and crunchy snack, perfect for enjoying on their own or as a complement to other treats.",sugar-glazed rice cracker,Want Want,['Gluten-Free'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
37006,"Ceylon Tea, Organic Oolong, 100-Count Tea Bags (Pack of 2)","This product includes two packs of 100 organic Ceylon oolong tea bags, known for their smooth flavor and potential health benefits.",oolong tea,none,['Organic'],smooth and floral,Medium-Cost,"['organic', 'ready-to-brew', 'bulk packaging']","Beverages, Health Foods, Coffee/Tea, Health-Conscious Options"
37010,"Side Mates Pearl Couscous, Portabella Mushroom and Sun-Dried Tomatoes, 6 Ounce (Pack of 8)","This product is a packaged side dish featuring pearl couscous combined with portabella mushrooms and sun-dried tomatoes, ideal for quick and flavorful meal preparation.",prepared side dish,Side Mates,['vegetarian'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Grains and Pasta, Prepared and Ready-Made Meals"
37011,"McCormick Curry Powder, 16-Ounce","A blend of spices that adds a rich, warm flavor and vibrant color to a variety of dishes, particularly in Indian and Southeast Asian cuisine.",spice blend,McCormick,"['Gluten-Free', 'Vegan']",spicy,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Ethnic and Specialty Foods"
37050,"SteviaClear Liquid Stevia Extract, 2-Ounce Bottles (Pack of 2)","A natural sweetener derived from the stevia plant, this liquid extract serves as a sugar substitute for various beverages and recipes, providing a low-calorie option for sweetness.",liquid stevia extract,SteviaClear,"['Low-Calorie', 'Non-GMO', 'Vegan']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Sweeteners, Health-Conscious Options"
37055,Starbucks Via Ready Brew Italian Roast Extra Bold Instant 8-3 Packs,"Instant coffee packets featuring a bold Italian roast flavor, designed for quick preparation by simply adding hot water.",instant coffee,Starbucks,['Gluten-Free'],bold,Medium-Cost,"['ready-to-drink', 'single-serving']","Beverages, Coffee/Tea"
37146,"Plum Organics Tots Teensy Fruits, Apple, 5 Count (Pack of 8) (400g)","A pack of pureed apple fruit pouches designed for toddlers, offering a convenient and nutritious snack option.",pureed fruit snack,Plum Organics,"['Organic', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Snacks, Baby Food, Fruits and Vegetables"
37170,"Hershey's Nuggets Chocolate Assortment, 38.5-Ounce Bag","A large bag of assorted chocolate candies featuring a variety of Hershey's signature chocolate flavors and textures, perfect for sharing or snacking.",chocolate assortment,Hershey's,['Gluten-Free'],sweet,Medium-Cost,"['ready-to-eat', 'bulk packaging']","Snacks, Sweets and Desserts"
37174,"Caf&eacute; Escapes Vue Cups for Keurig Vue Brewers (Chai Latte, 16 Count)","This product contains 16 Chai Latte Vue Cups designed for use with Keurig Vue brewers, offering a convenient way to enjoy a spiced tea beverage.",chai latte,Café Escapes,[],spicy,Medium-Cost,"['single-serving', 'ready-to-drink']","Beverages, Coffee/Tea"
37183,"Barilla Mezze Penne Pasta, 16 Ounce Boxes (Pack of 4)","This product consists of four 16-ounce boxes of mezze penne pasta, a short, tube-shaped pasta ideal for holding sauces and suitable for various recipes.",mezze penne pasta,Barilla,[],neutral,Medium-Cost,"['requires cooking', 'shelf-stable', 'multi-pack']","Canned and Packaged Foods, Grains and Pasta"
37209,"Popchips 11-Flavor Variety Pack, 0.8-Ounce Single Serve Bags (Pack of 24)","This pack contains 24 individual 0.8-ounce bags of Popchips in 11 different flavors, offering a healthier alternative to traditional potato chips for snacking.",popcorn chips,Popchips,"['Gluten-Free', 'Non-GMO', 'Lower Fat']",savory,Medium-Cost,"['single-serving', 'shelf-stable', 'ready-to-eat']","Snacks, Health Foods, Health-Conscious Options"
37213,"SunTropics Coconut Juice, 17.5-Ounce (Pack of 12)","A pack of twelve 17.5-ounce bottles of refreshing coconut juice, ideal for hydration and tropical flavor.",coconut juice,SunTropics,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-drink']",Beverages
37223,"Blue Diamond Almonds Wasabi &amp; Soy Sauce, Value Pack, 16-Ounce Bag","A 16-ounce bag of crunchy almonds flavored with wasabi and soy sauce, perfect for snacking or adding a zesty twist to dishes.",flavored almonds,Blue Diamond,"['Non-GMO', 'Gluten-Free']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Nuts and Seeds"
37246,"King Arthur Chocolate Cake Mix, 22 Ounce -- 6 per case.","A premium baking mix designed for making rich chocolate cakes, conveniently packaged in a 22-ounce size with six cases per order.",chocolate cake mix,King Arthur,[],sweet,High-Cost,"['requires baking', 'shelf-stable']","Cooking Ingredients, Sweets and Desserts"
37247,Pearson's Salted Pecan Rolls 24ct.,"A pack of 24 sweet and salty treats made with pecans, coated in a delicious caramel, perfect for snacking or sharing.",pecan rolls,Pearson's,['Gluten-Free'],sweet and salty,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
37258,"Mother Earth Products Freeze Dried Strawberries, 1 Full Quart","These freeze-dried strawberries offer a lightweight, shelf-stable option for snacking, baking, or adding natural sweetness to various dishes.",freeze-dried fruit,Mother Earth Products,"['Non-GMO', 'Vegan']",sweet,Medium-Cost,"['shelf-stable', 'lightweight', 'ready-to-eat']","Snacks, Fruits and Vegetables, Dried and Preserved Foods"
37269,"Cracker Jack, the original flavor caramel coated popcorn &amp; peanuts, 24 1oz.-boxes","A classic snack featuring caramel-coated popcorn mixed with crunchy peanuts, conveniently packaged in 24 individual 1-ounce boxes for easy sharing or on-the-go enjoyment.",caramel popcorn snack,Cracker Jack,['Contains Peanuts'],sweet,Low-Cost,"['ready-to-eat', 'single-serving']","Snacks, Canned and Packaged Foods, Nuts and Seeds"
37293,"Tanka Bar,natural Buffalo Cranberry Bar, 1-Ounce Bar (Pack of 12)","A pack of 12, 1-ounce bars made from natural buffalo meat and cranberries, providing a protein-rich snack option with a unique sweet and savory flavor combination.",protein bar,Tanka,['High-Protein'],sweet and savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Health Foods"
37331,Mt. Olive Hamburger Dill Chips Pickles 16 oz,"These are tangy dill-flavored pickle slices, perfect for adding crunch and flavor to hamburgers and sandwiches.",dill pickle slices,Mt. Olive,[],tart,Low-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Condiments and Sauces"
37367,"Mrs Bridges Ginger Preserve with Malt Whisky, 12 Ounce","A rich and flavorful preserve made with ginger and malt whisky, perfect for spreading on toast or enhancing desserts.",gourmet preserve,Mrs Bridges,['Contains Alcohol'],"sweet, spicy",Medium-Cost,"['ready-to-eat', 'shelf-stable']","Sweets and Desserts, Condiments and Sauces"
37380,"Swiss Miss Marshmallow Hot Cocoa Mix, 50 packets","A convenient box containing 50 individual packets of rich hot cocoa mix with marshmallows, perfect for quick preparation of a warm chocolate beverage.",hot cocoa mix with marshmallows,Swiss Miss,['Contains Dairy'],sweet,Low-Cost,"['single-serving', 'ready-to-eat', 'shelf-stable']","Beverages, Sweets and Desserts"
37383,McVities Rich Tea Biscuits 300g,"A light and crisp biscuit, perfect for enjoying with tea or coffee, packaged in a 300g box.",tea biscuits,McVities,['Low-Calorie'],sweet,Medium-Cost,"['shelf-stable', 'ready-to-eat']",Snacks
37392,"Orange, Sweet Essential Oil 4 oz","This 4 oz bottle contains sweet orange essential oil, commonly used in aromatherapy for its uplifting scent and potential mood-enhancing properties.",essential oil,none,['Natural'],"sweet, citrusy",Medium-Cost,"['shelf-stable', 'aromatherapy use']","Health Foods, Specialty Foods"
37393,"Kraft Pure Honey, 9-Gram Packages (Pack of 200)","Individual 9-gram packets of pure honey, ideal for sweetening beverages or enhancing recipes on-the-go, packaged in a bulk set for convenience.",pure honey,Kraft,['Natural'],sweet,Low-Cost,"['single-serving', 'shelf-stable']","Cooking Ingredients, Sweeteners"
37414,"Green Mountain Coffee Decaf Breakfast Blend  (Light Roast Coffee), K-Cup Portion Pack for Keurig K-Cup Brewers (Pack of 24)","A pack of 24 single-serve decaffeinated light roast coffee pods designed for use with Keurig K-Cup brewers, offering a smooth and flavorful morning coffee experience without the caffeine.",decaffeinated coffee pods,Green Mountain Coffee,['Decaffeinated'],smooth,Medium-Cost,"['single-serving', 'compatible with Keurig brewers']","Beverages, Breakfast Foods, Coffee/Tea"
37421,Ener-G Tapioca Dinner Rolls Gluten Free -- 9.88 oz,"These gluten-free dinner rolls made from tapioca flour provide a soft and chewy texture, perfect for serving alongside meals or as a sandwich base.",gluten-free dinner rolls,Ener-G,"['Gluten-Free', 'Grain-Free']",neutral,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Specialty Foods, Dietary Specific Items"
37432,"McCormick Food Coloring, Red, 16-Ounce","A vibrant red liquid dye used for coloring various foods and baked goods, ideal for enhancing the visual appeal of cakes, cookies, and other culinary creations.",liquid food coloring,McCormick,"['Gluten-Free', 'Vegan', 'Non-GMO']",neutral,Medium-Cost,"['liquid', 'shelf-stable', 'easy to use']",Cooking Ingredients
37433,Cafe Escapes Chai Latte K-Cups for Keurig - 24 Pack,"A pack of 24 single-serve K-Cups containing chai latte blend, designed for use with Keurig coffee makers for a quick and convenient beverage option.",chai latte,Cafe Escapes,[],spicy,Medium-Cost,"['single-serving', 'ready-to-brew']","Beverages, Coffee/Tea"
37438,Cook's Pure Vanilla Powder 1.5 lb. Jar,"A versatile cooking and baking ingredient made from ground vanilla beans, perfect for adding rich flavor to desserts, beverages, and savory dishes.",vanilla powder,Cook's,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['shelf-stable', 'versatile ingredient']",Cooking Ingredients
37441,"Ghirardelli Chocolate Intense Dark 86% Cacao Midnight Reverie Gift Bag, 4.12oz","A premium dark chocolate gift bag featuring 86% cacao, perfect for chocolate lovers seeking a rich and intense flavor experience.",premium dark chocolate,Ghirardelli,"['Gluten-Free', 'Non-GMO', 'Vegan']",rich,High-Cost,"['shelf-stable', 'ready-to-eat']","Sweets and Desserts, Gift Baskets and Food Gifts"
37442,"Quaker Chewy Granola Bars Chocolate Chunk, Oatmeal Raisin and Peanut Butter Variety Pack 90 Calories, 8 Bars per Pack  Net Wt 6.7 oz.., (Pack of 6)","This variety pack includes eight granola bars in three flavors—chocolate chunk, oatmeal raisin, and peanut butter—each with 90 calories, ideal for convenient snacking.",granola bar,Quaker,['Low-Calorie'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Health-Conscious Options"
37457,Nong Shim Hot and Spicy Noodle Soup:Ansung Tangmyun,"A spicy Korean noodle soup that features chewy noodles in a rich broth, perfect for a quick and flavorful meal.",instant noodle soup,Nong Shim,['Vegetarian'],spicy,Low-Cost,"['ready-to-eat', 'shelf-stable']","Grains and Pasta, Prepared and Ready-Made Meals"
37459,Balsamic Vinegar Gift Set,"A collection of high-quality balsamic vinegars presented in a gift-ready packaging, ideal for culinary enthusiasts or as a thoughtful gift for food lovers.",gourmet balsamic vinegar set,none,"['Vegan', 'Gluten-Free']",sweet and tart,Medium-Cost,"['gift-ready packaging', 'shelf-stable']","Condiments and Sauces, Gift Baskets and Food Gifts"
37463,"La Choy Rice Noodles, 3-Ounce Canisters (Pack of 12)","These are convenient, pre-packaged rice noodles that can be easily prepared and used in various dishes, ideal for quick meals or side dishes.",rice noodles,La Choy,['Gluten-Free'],neutral,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'pre-packaged']","Canned and Packaged Foods, Grains and Pasta"
37488,"Del Monte Diced Tomatoes Basil, Garlic and Oregano, 14.5-Ounce (Pack of 8)","This product is a pack of diced tomatoes seasoned with basil, garlic, and oregano, ideal for enhancing sauces, soups, and various dishes.",seasoned diced tomatoes,Del Monte,"['Gluten-Free', 'Non-GMO']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Cooking Ingredients, Canned and Packaged Foods, Fruits and Vegetables"
37495,"L&Auml;RABAR &Uuml;ber Bar 3-Flavor Variety: One 1.42 oz Bar Each of Cherry Cobbler, Bananas Foster, and Apple Turnover in a Gift Box","This product includes a gift box containing three 1.42 oz energy bars in the flavors Cherry Cobbler, Bananas Foster, and Apple Turnover, suitable for a nutritious snack or breakfast option.",nutritional energy bar,LÄRABAR,"['Gluten-Free', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Snacks, Breakfast Foods, Health Foods, Gift Baskets and Food Gifts"
37519,"Duncan Hines Signature Spice Cake Mix, 16.50-Ounce Boxes (Pack of 6)","This product is a convenient mix for making a flavorful spice cake, packaged in six 16.50-ounce boxes for easy baking at home.",spice cake mix,Duncan Hines,['None'],sweet and spicy,Medium-Cost,"['requires preparation', 'shelf-stable']","Cooking Ingredients, Sweets and Desserts"
37609,"Emerald Roasted Walnuts, Dry, 12 Count","A pack of twelve individually packaged roasted walnuts, ideal for snacking, cooking, or adding to baked goods.",roasted walnuts,Emerald,"['Gluten-Free', 'Non-GMO']",nutty,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Nuts and Seeds"
37640,"Thai Kitchen Bangkok Curry Instant Rice Noodle Soup, 1.60-Ounce Package (Pack of 12)","A convenient pack of instant rice noodle soup featuring a flavorful Thai curry broth, ideal for quick meals or snacks.",instant noodle soup,Thai Kitchen,[],"spicy, savory",Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Prepared and Ready-Made Meals, Ethnic and Specialty Foods"
37649,"The Spice Hunter Mexican Seasoning, Organic, 1.4-Ounce Jar","A blend of organic spices designed to enhance the flavor of Mexican dishes, packaged in a convenient 1.4-ounce jar.",Mexican seasoning,The Spice Hunter,['Organic'],savory,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Ethnic and Specialty Foods"
37676,"Better Oats Oat Revolution Steel Cut, Maple and Brown Sugar, 15.1oz (Pack of 6)","This product is a pack of six 15.1-ounce containers of steel-cut oats flavored with maple and brown sugar, designed for a quick and hearty breakfast option.",steel-cut oats,Better Oats,"['High in fiber', 'Whole grain']",sweet,Medium-Cost,"['requires cooking', 'shelf-stable']","Breakfast Foods, Canned and Packaged Foods, Grains and Pasta"
37692,"San Francisco Bay Coffee Organic Rainforest Blend, 12-Count OneCup Single Serve Cups (Pack of 3)","A pack of three boxes containing twelve single-serve coffee pods each, featuring an organic rainforest blend suitable for single-serve brewing systems.",single-serve coffee pods,San Francisco Bay Coffee,['Organic'],rich,Medium-Cost,"['single-serving', 'organic', 'ready-to-brew']","Beverages, Coffee/Tea"
37695,"Primal Spirit Meatless Jerky, Teriyaki Flavor, 1-Ounce Pouches (Pack of 24)","A pack of 24 individual 1-ounce pouches of plant-based jerky flavored with teriyaki, offering a savory snack option without meat.",meatless jerky,Primal Spirit,['Vegan'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Health Foods, Dietary Specific Items"
37707,"Milk Chocolate Covered Cashews, 1 Lb. Bag","A 1-pound bag of cashews coated in a layer of creamy milk chocolate, offering a sweet and savory snack option.",chocolate-covered nuts,none,[],sweet and savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts, Nuts and Seeds"
37716,"FREE SAMPLE - Kind Peanut Butter Dark Chocolate + Protein, 1.4 Ounce Bar (Free with purchase of a qualifying item)","A 1.4-ounce snack bar that combines peanut butter and dark chocolate, enhanced with protein, offered as a complimentary sample with the purchase of a qualifying item.",protein bar,Kind,"['Gluten-Free', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Snacks, Health Foods, Specialty Foods, Dietary Specific Items, Health-Conscious Options"
37780,"Harmony House Foods, Dried Carrots, Diced, 16 Ounce Quart Size Jar","A quart-sized jar filled with diced dried carrots, ideal for convenient use in camping meals or as a long-lasting ingredient in various dishes.",dried vegetables,Harmony House Foods,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Dried and Preserved Foods, Vegetables and Beans"
37799,"Chinese Black Rice, 1 lb.","This product is a nutritious, gluten-free whole grain known for its distinctive black color and nutty flavor, often used in Asian dishes or as a healthful alternative to white rice.",black rice,none,"['Gluten-Free', 'Nutritious']",nutty,Medium-Cost,['requires cooking'],"Health Foods, Grains and Pasta, Health-Conscious Options, Ethnic and Specialty Foods"
37805,Mary Janes Old Fashioned Candy - 2 Lbs,"This nostalgic candy features a chewy, peanut butter-flavored consistency, often enjoyed as a sweet treat reminiscent of classic confectionery.",chewy candy,Mary Janes,['Contains Peanuts'],sweet,Medium-Cost,"['chewy', 'shelf-stable']","Snacks, Sweets and Desserts"
37813,Fee Brothers Cranberry Bitters 5oz,"This product is a flavored bitters used in cocktails, particularly enhancing drinks with its cranberry flavor.",cocktail bitters,Fee Brothers,['none'],tart,Medium-Cost,"['shelf-stable', 'ready-to-use']",Condiments and Sauces
37833,"RiceSelect Jasmati Rice, 32-Ounce Jars (Pack of 4)","This product is a pack of four 32-ounce jars of Jasmati rice, a fragrant and versatile grain that combines the qualities of jasmine and basmati rice, ideal for various dishes.",gourmet rice,RiceSelect,"['Gluten-Free', 'Non-GMO']",fragrant,Medium-Cost,"['requires cooking', 'shelf-stable']",Grains and Pasta
37837,"Crisco Pure Vegetable Oil, 128 Ounce (Pack of 4)","This product is a bulk package of pure vegetable oil, ideal for cooking, baking, and frying due to its high smoke point and neutral flavor.",cooking oil,Crisco,['Non-GMO'],neutral,Medium-Cost,"['shelf-stable', 'bulk packaging', 'high smoke point', 'versatile for cooking']",Cooking Ingredients
37874,Nestle Toffee Crisp Pack of 6,A multipack of chocolate bars featuring a crunchy toffee center coated in milk chocolate.,chocolate bar,Nestle,"['Contains Dairy', 'Contains Sugar', 'None']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
37879,"Bellino Holiday Package, 3 Count","A selection of three gourmet food items packaged together, ideal for holiday gifting or entertaining.",gourmet food gift package,Bellino,[],varied,Medium-Cost,"['ready-to-eat', 'shelf-stable']",Gift Baskets and Food Gifts
